,TP9,AF7,AF8,TP10,Right AUX,timestamps
137,-11.230,-40.039,-34.180,-31.738,0.000,1659355776.619
138,-20.508,-47.363,-34.180,-15.625,0.000,1659355776.622
139,-32.227,-46.875,-42.969,-19.043,0.000,1659355776.626
140,-29.297,-38.086,-43.457,-46.387,0.000,1659355776.629
141,-28.320,-44.922,-39.062,-39.062,0.000,1659355776.633
142,-35.156,-47.363,-38.086,-29.297,0.000,1659355776.636
143,-36.621,-41.504,-38.574,-36.621,0.000,1659355776.640
144,-30.762,-36.621,-33.691,-39.062,0.000,1659355776.645
145,-20.508,-36.621,-30.762,-31.250,0.000,1659355776.648
146,-23.926,-40.039,-37.598,-31.250,0.000,1659355776.652
147,-24.414,-37.598,-41.992,-28.809,0.000,1659355776.655
148,-28.809,-39.551,-38.086,-32.227,0.000,1659355776.659
149,-33.691,-45.898,-33.203,-28.809,0.000,1659355776.662
150,-25.879,-49.316,-30.273,-21.973,0.000,1659355776.666
151,-47.363,-46.875,-33.691,-36.133,0.000,1659355776.669
152,-41.504,-36.621,-33.691,-37.109,0.000,1659355776.673
153,-25.391,-38.086,-31.250,-30.273,0.000,1659355776.676
154,-33.203,-44.434,-29.785,-32.227,0.000,1659355776.680
155,-29.785,-42.480,-29.785,-35.156,0.000,1659355776.683
156,-26.367,-41.992,-32.715,-28.320,0.000,1659355776.689
157,-24.902,-40.039,-33.691,-16.113,0.000,1659355776.692
158,-27.832,-45.410,-30.762,-22.461,0.000,1659355776.696
159,-34.668,-48.828,-32.715,-40.039,0.000,1659355776.699
160,-31.738,-46.387,-35.156,-40.527,0.000,1659355776.703
161,-27.344,-41.504,-32.227,-24.902,0.000,1659355776.706
162,-22.949,-41.504,-30.273,-22.949,0.000,1659355776.710
163,-36.133,-45.898,-31.738,-37.598,0.000,1659355776.713
164,-51.758,-40.039,-33.691,-33.203,0.000,1659355776.717
165,-34.668,-38.574,-32.715,-12.695,0.000,1659355776.720
166,-23.926,-34.668,-29.785,-19.531,0.000,1659355776.724
167,-35.645,-34.180,-33.691,-39.551,0.000,1659355776.727
168,-43.945,-41.016,-33.203,-42.969,0.000,1659355776.734
169,-32.715,-37.109,-29.297,-35.645,0.000,1659355776.738
170,-28.809,-35.645,-31.738,-30.762,0.000,1659355776.741
171,-34.668,-39.551,-33.691,-41.504,0.000,1659355776.745
172,-28.809,-45.898,-33.691,-39.062,0.000,1659355776.749
173,-23.926,-46.875,-32.715,-25.391,0.000,1659355776.752
174,-25.391,-43.945,-30.762,-25.391,0.000,1659355776.756
175,-41.504,-43.945,-29.297,-35.645,0.000,1659355776.759
176,-51.758,-47.852,-29.297,-47.363,0.000,1659355776.763
177,-47.363,-43.945,-31.738,-41.504,0.000,1659355776.766
178,-39.062,-35.645,-29.785,-35.645,0.000,1659355776.770
179,-30.273,-43.457,-33.203,-38.086,0.000,1659355776.773
180,-36.621,-58.105,-32.227,-38.574,0.000,1659355776.780
181,-42.480,-54.688,-27.832,-41.504,0.000,1659355776.784
182,-41.504,-48.828,-24.902,-38.086,0.000,1659355776.787
183,-33.691,-46.875,-23.438,-34.668,0.000,1659355776.791
184,-40.527,-52.246,-26.367,-35.645,0.000,1659355776.794
185,-46.875,-51.270,-25.391,-36.133,0.000,1659355776.798
186,-26.855,-38.086,-19.531,-26.855,0.000,1659355776.801
187,-23.438,-35.645,-19.531,-21.484,0.000,1659355776.805
188,-36.133,-49.805,-30.273,-18.555,0.000,1659355776.809
189,-47.852,-58.105,-34.668,-24.414,0.000,1659355776.812
190,-45.898,-47.852,-29.297,-39.551,0.000,1659355776.816
191,-30.273,-44.434,-29.297,-30.273,0.000,1659355776.819
192,-31.250,-42.480,-26.855,-25.391,0.000,1659355776.826
193,-35.156,-41.504,-28.809,-30.273,0.000,1659355776.829
194,-33.691,-40.039,-32.227,-30.762,0.000,1659355776.833
