,TP9,AF7,AF8,TP10,Right AUX,timestamps
145,-106.445,-51.270,-34.180,-46.387,0.000,1659356055.126
146,-97.656,-47.852,-41.016,-46.387,0.000,1659356055.129
147,-87.891,-48.828,-38.086,-50.781,0.000,1659356055.133
148,-74.219,-54.199,-38.574,-45.898,0.000,1659356055.136
149,-66.895,-55.176,-45.898,-42.969,0.000,1659356055.140
150,-62.500,-55.664,-45.410,-38.574,0.000,1659356055.143
151,-53.223,-56.641,-43.457,-28.809,0.000,1659356055.147
152,-44.434,-61.523,-43.945,-27.344,0.000,1659356055.150
153,-32.715,-67.871,-43.945,-18.555,0.000,1659356055.154
154,-28.320,-68.848,-43.945,-8.301,0.000,1659356055.157
155,-35.645,-66.895,-49.805,-19.043,0.000,1659356055.161
156,-38.574,-66.895,-56.152,-21.484,0.000,1659356055.166
157,-35.645,-73.730,-55.664,-6.348,0.000,1659356055.170
158,-32.715,-84.473,-55.664,2.441,0.000,1659356055.173
159,-21.973,-78.613,-55.664,6.348,0.000,1659356055.177
160,-16.602,-76.172,-55.664,12.695,0.000,1659356055.180
161,-18.555,-89.844,-60.059,22.949,0.000,1659356055.184
162,-16.113,-90.332,-60.547,31.250,0.000,1659356055.187
163,-20.020,-87.402,-58.594,18.555,0.000,1659356055.191
164,-17.578,-92.773,-61.523,18.555,0.000,1659356055.194
165,-9.277,-97.656,-67.383,27.344,0.000,1659356055.198
166,-9.766,-97.656,-69.824,30.273,0.000,1659356055.201
167,-7.812,-96.680,-67.383,33.203,0.000,1659356055.205
168,4.395,-99.121,-63.965,41.504,0.000,1659356055.212
169,5.859,-103.027,-62.500,49.316,0.000,1659356055.215
170,3.418,-108.398,-69.336,45.898,0.000,1659356055.219
171,9.766,-107.422,-70.801,40.527,0.000,1659356055.222
172,12.207,-109.375,-66.895,44.922,0.000,1659356055.226
173,5.371,-114.258,-71.777,44.922,0.000,1659356055.229
174,3.906,-113.770,-72.754,34.668,0.000,1659356055.233
175,-0.488,-117.676,-71.289,27.832,0.000,1659356055.236
176,-3.906,-123.047,-69.824,32.715,0.000,1659356055.240
177,1.953,-119.141,-68.848,44.434,0.000,1659356055.243
178,2.441,-112.305,-67.383,46.387,0.000,1659356055.247
179,1.465,-112.305,-64.453,45.410,0.000,1659356055.250
180,1.465,-113.770,-63.965,46.875,0.000,1659356055.257
181,-2.441,-113.770,-66.406,53.223,0.000,1659356055.261
182,-5.859,-112.793,-66.895,48.828,0.000,1659356055.264
183,2.441,-114.746,-62.988,42.969,0.000,1659356055.268
184,5.859,-113.281,-64.453,40.039,0.000,1659356055.272
185,3.906,-115.234,-69.824,40.039,0.000,1659356055.275
186,2.441,-113.770,-71.289,39.551,0.000,1659356055.279
187,7.812,-107.910,-69.336,42.480,0.000,1659356055.282
188,6.348,-113.281,-69.336,51.270,0.000,1659356055.286
189,-4.883,-114.258,-69.824,52.246,0.000,1659356055.289
