,TP9,AF7,AF8,TP10,Right AUX,timestamps
212,0.000,966.797,-1000.000,-1000.000,0.000,1659355579.044
213,0.000,-901.367,-1000.000,-1000.000,0.000,1659355579.047
214,0.000,493.652,-1000.000,-1000.000,0.000,1659355579.050
215,0.000,236.816,-1000.000,-1000.000,0.000,1659355579.052
216,971.680,988.770,-1000.000,-1000.000,0.000,1659355579.063
217,971.680,-993.164,-1000.000,-1000.000,0.000,1659355579.066
218,971.191,923.828,-999.512,-1000.000,0.000,1659355579.069
219,971.680,849.609,-1000.000,-1000.000,0.000,1659355579.072
220,971.191,949.219,-994.141,-1000.000,0.000,1659355579.075
221,971.191,986.816,-990.234,-1000.000,0.000,1659355579.078
222,971.680,963.379,-996.582,-1000.000,0.000,1659355579.080
223,971.680,976.562,-1000.000,-1000.000,0.000,1659355579.083
224,966.797,907.227,-963.867,-1000.000,0.000,1659355579.086
225,931.152,-888.672,-936.523,-1000.000,0.000,1659355579.089
226,-864.746,217.285,-1000.000,-1000.000,0.000,1659355579.092
227,104.980,-1000.000,-1000.000,-1000.000,0.000,1659355579.095
228,0.000,-988.770,-998.535,-1000.000,0.000,1659355579.106
229,0.000,-971.191,-1000.000,-1000.000,0.000,1659355579.109
230,0.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.112
231,0.000,-1000.000,-997.559,-1000.000,0.000,1659355579.114
232,0.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.117
233,0.000,-1000.000,-979.492,-1000.000,0.000,1659355579.120
234,0.000,-1000.000,-963.867,-1000.000,0.000,1659355579.123
235,0.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.126
236,0.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.129
237,0.000,-1000.000,-976.562,-1000.000,0.000,1659355579.132
238,0.000,-1000.000,-959.961,-1000.000,0.000,1659355579.134
239,0.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.137
240,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355579.148
241,-274.414,-1000.000,-999.023,-1000.000,0.000,1659355579.151
242,-799.316,-1000.000,-1000.000,-1000.000,0.000,1659355579.154
243,401.855,-1000.000,-1000.000,-1000.000,0.000,1659355579.157
244,-1000.000,-1000.000,-996.094,-993.652,0.000,1659355579.160
245,-378.418,-1000.000,-1000.000,-937.988,0.000,1659355579.163
246,981.445,-1000.000,-873.047,-1000.000,0.000,1659355579.165
247,-852.539,-1000.000,-743.652,-9.277,0.000,1659355579.168
248,-239.746,-937.500,-994.629,932.129,0.000,1659355579.171
249,-686.523,-1000.000,-883.789,-323.242,0.000,1659355579.174
250,929.199,-261.230,361.328,454.102,0.000,1659355579.177
251,-972.168,-905.273,993.652,-857.422,0.000,1659355579.180
252,914.062,888.184,860.352,897.461,0.000,1659355579.191
253,994.629,-207.031,911.621,984.863,0.000,1659355579.194
254,940.918,289.551,943.359,971.680,0.000,1659355579.197
255,957.031,-731.934,949.219,971.680,0.000,1659355579.200
256,-911.133,126.953,927.734,971.680,0.000,1659355579.203
257,-402.344,-1000.000,909.180,972.168,0.000,1659355579.206
258,-515.137,-983.398,920.410,977.539,0.000,1659355579.209
259,-788.086,-973.633,940.918,902.832,0.000,1659355579.211
260,177.246,-1000.000,932.129,-827.148,0.000,1659355579.214
261,-1000.000,-1000.000,913.574,166.504,0.000,1659355579.217
262,-1000.000,-1000.000,923.340,-287.598,0.000,1659355579.220
263,-250.488,-1000.000,945.801,-949.707,0.000,1659355579.223
264,121.582,-1000.000,948.730,995.605,0.000,1659355579.236
265,-992.676,-1000.000,935.059,-339.355,0.000,1659355579.239
266,-1000.000,-1000.000,933.105,-1000.000,0.000,1659355579.242
267,-526.367,-1000.000,948.242,65.918,0.000,1659355579.245
268,17.090,-1000.000,951.660,991.211,0.000,1659355579.248
269,-895.020,-980.957,949.707,-445.801,0.000,1659355579.251
270,-1000.000,-974.609,948.242,-1000.000,0.000,1659355579.253
271,-599.609,-1000.000,961.426,-637.207,0.000,1659355579.256
272,998.535,78.125,972.656,929.199,0.000,1659355579.259
273,304.199,-885.254,971.680,316.895,0.000,1659355579.262
274,-1000.000,600.098,971.680,-1000.000,0.000,1659355579.265
275,-186.523,724.121,972.168,-187.012,0.000,1659355579.268
276,-930.176,-966.797,972.168,-929.199,0.000,1659355579.281
277,948.242,952.148,972.168,948.730,0.000,1659355579.284
278,943.848,974.121,972.168,944.824,0.000,1659355579.287
279,978.027,972.168,972.168,978.516,0.000,1659355579.290
280,971.191,971.680,972.168,972.168,0.000,1659355579.293
