timestamps,TP9,AF7,AF8,TP10,Right AUX
1659217161.983,-12.207,-1000.0,232.91,518.555,0.0
1659217161.987,-29.785,-1000.0,229.004,519.043,0.0
1659217161.99,-102.539,-1000.0,216.797,441.895,0.0
1659217161.994,-112.305,-1000.0,214.844,401.367,0.0
1659217161.997,-81.055,-1000.0,218.262,434.57,0.0
1659217162.001,-71.777,-1000.0,215.82,438.477,0.0
1659217162.004,-103.027,-1000.0,212.891,394.043,0.0
1659217162.01,-118.652,-1000.0,217.285,386.23,0.0
1659217162.013,-88.867,-1000.0,217.285,426.758,0.0
1659217162.017,-68.848,-1000.0,213.379,442.871,0.0
1659217162.02,-101.562,-1000.0,214.355,401.367,0.0
1659217162.024,-127.441,-1000.0,215.82,373.535,0.0
1659217162.027,-106.445,-1000.0,217.285,401.855,0.0
1659217162.03,-83.008,-1000.0,207.031,424.805,0.0
1659217162.034,-113.77,-1000.0,199.707,376.465,0.0
1659217162.037,-129.883,-1000.0,209.473,346.191,0.0
1659217162.041,-88.867,-1000.0,198.73,375.977,0.0
1659217162.044,-81.543,-1000.0,184.57,387.695,0.0
1659217162.048,-130.859,-1000.0,183.594,344.727,0.0
1659217162.056,-167.48,-1000.0,177.734,304.199,0.0
1659217162.059,-156.738,-1000.0,173.828,304.199,0.0
1659217162.063,-123.047,-1000.0,165.039,323.73,0.0
1659217162.066,-121.094,-1000.0,158.203,321.777,0.0
1659217162.07,-156.25,-1000.0,152.832,271.973,0.0
1659217162.073,-162.109,-1000.0,151.855,258.301,0.0
1659217162.077,-130.859,-1000.0,150.879,286.133,0.0
1659217162.08,-114.746,-1000.0,143.555,299.805,0.0
1659217162.083,-154.785,-1000.0,139.648,271.484,0.0
1659217162.087,-187.5,-1000.0,137.695,244.629,0.0
1659217162.09,-162.109,-1000.0,129.883,245.605,0.0
1659217162.094,-125.488,-1000.0,130.371,256.348,0.0
1659217162.101,-148.926,-1000.0,133.301,243.164,0.0
1659217162.104,-185.059,-1000.0,128.906,218.75,0.0
1659217162.108,-171.875,-1000.0,125.488,209.473,0.0
1659217162.111,-145.996,-1000.0,123.047,229.98,0.0
1659217162.115,-155.273,-1000.0,123.047,229.004,0.0
1659217162.118,-200.684,-1000.0,118.164,191.406,0.0
1659217162.122,-203.613,-1000.0,111.816,183.105,0.0
1659217162.125,-166.504,-1000.0,112.305,204.59,0.0
1659217162.129,-138.184,-1000.0,125.0,223.145,0.0
1659217162.132,-167.48,-1000.0,122.07,196.777,0.0
1659217162.136,-201.172,-1000.0,118.652,163.574,0.0
1659217162.139,-173.34,-1000.0,123.047,179.199,0.0
1659217162.146,-153.809,-1000.0,119.141,188.965,0.0
1659217162.149,-178.711,-1000.0,110.352,147.949,0.0
1659217162.153,-208.008,-1000.0,104.98,124.512,0.0
1659217162.156,-206.055,-1000.0,105.469,143.066,0.0
1659217162.16,-173.34,-1000.0,102.539,169.434,0.0
1659217162.163,-174.805,-1000.0,99.121,164.062,0.0
1659217162.167,-219.727,-1000.0,95.703,133.301,0.0
1659217162.17,-226.562,-1000.0,98.145,135.742,0.0
1659217162.174,-192.383,-996.094,101.562,163.574,0.0
1659217162.178,-194.336,-984.863,99.609,141.602,0.0
1659217162.181,-229.98,-977.539,98.145,99.121,0.0
1659217162.185,-245.605,-967.285,94.727,92.773,0.0
1659217162.192,0.0,-955.078,92.285,114.258,0.0
1659217162.196,0.0,-948.242,93.75,137.695,0.0
1659217162.199,0.0,-936.035,94.238,123.535,0.0
1659217162.203,0.0,-924.805,86.914,104.492,0.0
1659217162.206,0.0,-923.34,83.008,117.676,0.0
1659217162.21,0.0,-925.293,82.031,144.043,0.0
1659217162.213,0.0,-915.039,76.172,119.629,0.0
1659217162.217,0.0,-901.367,78.125,91.309,0.0
1659217162.22,0.0,-895.02,75.684,97.656,0.0
1659217162.224,0.0,-887.695,65.43,120.117,0.0
1659217162.227,0.0,-882.324,63.477,128.906,0.0
1659217162.231,0.0,-871.094,59.082,93.262,0.0
1659217162.237,-250.0,-854.492,58.105,88.867,0.0
1659217162.241,-178.223,-847.656,62.5,121.094,0.0
1659217162.244,-158.691,-846.68,58.105,118.164,0.0
1659217162.248,-228.027,-840.82,50.293,83.984,0.0
1659217162.251,-229.492,-836.426,37.598,88.379,0.0
1659217162.255,-189.453,-831.055,40.039,98.633,0.0
1659217162.258,-169.434,-824.707,46.387,100.098,0.0
1659217162.262,-178.223,-825.195,38.574,102.051,0.0
1659217162.266,-210.938,-819.336,31.738,83.984,0.0
1659217162.269,-176.27,-806.641,23.438,104.98,0.0
1659217162.273,-120.605,-804.199,25.391,149.414,0.0
1659217162.276,-155.273,-791.016,30.273,126.953,0.0
1659217162.283,-198.242,-770.996,15.625,93.262,0.0
1659217162.286,-181.641,-754.883,14.648,101.074,0.0
1659217162.29,-132.812,-741.699,17.09,137.207,0.0
1659217162.293,-128.418,-725.098,5.859,137.207,0.0
1659217162.297,-189.453,-702.637,11.719,89.844,0.0
1659217162.301,-195.312,-691.895,20.02,90.332,0.0
1659217162.304,-138.672,-687.012,20.508,138.184,0.0
1659217162.308,-125.0,-673.828,20.996,144.531,0.0
1659217162.311,-185.059,-645.02,19.531,90.82,0.0
1659217162.315,-199.219,-628.418,22.461,64.453,0.0
1659217162.318,-156.25,-626.465,21.973,90.332,0.0
1659217162.322,-117.676,-624.023,19.043,128.418,0.0
1659217162.329,-152.832,-616.699,21.973,104.004,0.0
1659217162.332,-221.68,-614.746,23.438,55.664,0.0
1659217162.336,-192.383,-605.469,22.461,61.035,0.0
1659217162.339,-120.605,-587.402,21.484,97.168,0.0
1659217162.343,-157.227,-588.867,17.09,78.125,0.0
1659217162.347,-234.863,-589.844,17.578,23.438,0.0
1659217162.35,-214.355,-583.496,23.438,38.086,0.0
1659217162.354,-145.508,-580.566,20.02,91.309,0.0
