,timestamps,TP9,AF7,AF8,TP10,Right AUX
112,1659217161.852,-151.855,-1000.0,92.773,881.348,0.0
113,1659217161.855,-175.781,-1000.0,104.98,846.68,0.0
114,1659217161.858,-152.832,-1000.0,115.723,872.559,0.0
115,1659217161.862,-112.793,-1000.0,127.93,908.203,0.0
116,1659217161.865,-131.348,-1000.0,139.648,872.07,0.0
117,1659217161.869,-178.711,-1000.0,150.391,815.918,0.0
118,1659217161.872,-146.484,-1000.0,146.973,837.402,0.0
119,1659217161.875,-66.406,-1000.0,166.992,888.672,0.0
120,1659217161.881,-86.914,-1000.0,199.707,849.121,0.0
121,1659217161.885,-169.922,-1000.0,205.078,770.02,0.0
122,1659217161.888,-170.41,-1000.0,208.008,754.883,0.0
123,1659217161.892,-103.516,-1000.0,210.449,791.504,0.0
124,1659217161.895,-81.543,-1000.0,222.656,797.363,0.0
125,1659217161.898,-149.414,-1000.0,236.328,735.352,0.0
126,1659217161.902,-178.711,-1000.0,236.816,708.984,0.0
127,1659217161.905,-130.859,-1000.0,237.305,738.281,0.0
128,1659217161.909,-99.609,-1000.0,235.84,732.91,0.0
129,1659217161.912,-125.488,-1000.0,230.469,669.922,0.0
130,1659217161.916,-148.438,-1000.0,223.633,628.418,0.0
131,1659217161.919,-107.91,-1000.0,228.516,649.902,0.0
132,1659217161.923,0.0,-1000.0,235.84,672.363,0.0
133,1659217161.927,0.0,-1000.0,239.746,647.949,0.0
134,1659217161.93,0.0,-1000.0,245.117,601.562,0.0
135,1659217161.934,0.0,-1000.0,243.164,594.238,0.0
136,1659217161.937,0.0,-1000.0,246.582,623.047,0.0
137,1659217161.941,0.0,-1000.0,252.441,627.93,0.0
138,1659217161.944,0.0,-1000.0,256.348,571.289,0.0
139,1659217161.947,0.0,-1000.0,251.953,533.203,0.0
140,1659217161.951,0.0,-1000.0,247.559,556.152,0.0
141,1659217161.954,0.0,-1000.0,253.418,575.684,0.0
142,1659217161.958,0.0,-1000.0,254.883,544.922,0.0
143,1659217161.961,0.0,-1000.0,241.699,507.812,0.0
144,1659217161.966,-78.613,-1000.0,236.816,509.766,0.0
145,1659217161.97,-39.551,-1000.0,242.676,539.551,0.0
146,1659217161.973,-50.293,-1000.0,240.234,511.23,0.0
147,1659217161.977,-82.52,-1000.0,229.492,465.332,0.0
148,1659217161.98,-66.406,-1000.0,226.074,477.051,0.0
149,1659217161.983,-12.207,-1000.0,232.91,518.555,0.0
150,1659217161.987,-29.785,-1000.0,229.004,519.043,0.0
151,1659217161.99,-102.539,-1000.0,216.797,441.895,0.0
152,1659217161.994,-112.305,-1000.0,214.844,401.367,0.0
153,1659217161.997,-81.055,-1000.0,218.262,434.57,0.0
154,1659217162.001,-71.777,-1000.0,215.82,438.477,0.0
155,1659217162.004,-103.027,-1000.0,212.891,394.043,0.0
156,1659217162.01,-118.652,-1000.0,217.285,386.23,0.0
157,1659217162.013,-88.867,-1000.0,217.285,426.758,0.0
158,1659217162.017,-68.848,-1000.0,213.379,442.871,0.0
159,1659217162.02,-101.562,-1000.0,214.355,401.367,0.0
160,1659217162.024,-127.441,-1000.0,215.82,373.535,0.0
161,1659217162.027,-106.445,-1000.0,217.285,401.855,0.0
162,1659217162.03,-83.008,-1000.0,207.031,424.805,0.0
163,1659217162.034,-113.77,-1000.0,199.707,376.465,0.0
164,1659217162.037,-129.883,-1000.0,209.473,346.191,0.0
165,1659217162.041,-88.867,-1000.0,198.73,375.977,0.0
166,1659217162.044,-81.543,-1000.0,184.57,387.695,0.0
167,1659217162.048,-130.859,-1000.0,183.594,344.727,0.0
168,1659217162.056,-167.48,-1000.0,177.734,304.199,0.0
169,1659217162.059,-156.738,-1000.0,173.828,304.199,0.0
170,1659217162.063,-123.047,-1000.0,165.039,323.73,0.0
171,1659217162.066,-121.094,-1000.0,158.203,321.777,0.0
172,1659217162.07,-156.25,-1000.0,152.832,271.973,0.0
173,1659217162.073,-162.109,-1000.0,151.855,258.301,0.0
174,1659217162.077,-130.859,-1000.0,150.879,286.133,0.0
175,1659217162.08,-114.746,-1000.0,143.555,299.805,0.0
176,1659217162.083,-154.785,-1000.0,139.648,271.484,0.0
177,1659217162.087,-187.5,-1000.0,137.695,244.629,0.0
178,1659217162.09,-162.109,-1000.0,129.883,245.605,0.0
179,1659217162.094,-125.488,-1000.0,130.371,256.348,0.0
180,1659217162.101,-148.926,-1000.0,133.301,243.164,0.0
181,1659217162.104,-185.059,-1000.0,128.906,218.75,0.0
182,1659217162.108,-171.875,-1000.0,125.488,209.473,0.0
183,1659217162.111,-145.996,-1000.0,123.047,229.98,0.0
184,1659217162.115,-155.273,-1000.0,123.047,229.004,0.0
185,1659217162.118,-200.684,-1000.0,118.164,191.406,0.0
186,1659217162.122,-203.613,-1000.0,111.816,183.105,0.0
187,1659217162.125,-166.504,-1000.0,112.305,204.59,0.0
188,1659217162.129,-138.184,-1000.0,125.0,223.145,0.0
189,1659217162.132,-167.48,-1000.0,122.07,196.777,0.0
190,1659217162.136,-201.172,-1000.0,118.652,163.574,0.0
191,1659217162.139,-173.34,-1000.0,123.047,179.199,0.0
192,1659217162.146,-153.809,-1000.0,119.141,188.965,0.0
193,1659217162.149,-178.711,-1000.0,110.352,147.949,0.0
194,1659217162.153,-208.008,-1000.0,104.98,124.512,0.0
195,1659217162.156,-206.055,-1000.0,105.469,143.066,0.0
196,1659217162.16,-173.34,-1000.0,102.539,169.434,0.0
197,1659217162.163,-174.805,-1000.0,99.121,164.062,0.0
198,1659217162.167,-219.727,-1000.0,95.703,133.301,0.0
199,1659217162.17,-226.562,-1000.0,98.145,135.742,0.0
200,1659217162.174,-192.383,-996.094,101.562,163.574,0.0
201,1659217162.178,-194.336,-984.863,99.609,141.602,0.0
202,1659217162.181,-229.98,-977.539,98.145,99.121,0.0
203,1659217162.185,-245.605,-967.285,94.727,92.773,0.0
204,1659217162.192,0.0,-955.078,92.285,114.258,0.0
205,1659217162.196,0.0,-948.242,93.75,137.695,0.0
206,1659217162.199,0.0,-936.035,94.238,123.535,0.0
207,1659217162.203,0.0,-924.805,86.914,104.492,0.0
